Date,Counter,Ticker,RS Rating,Current Close,50 Day MA,150 Day MA,200 Day MA,52 Week Low,52 Week High
2021-01-17 20:43:03.045763,158,ENPH,125.36,190.58999633789062,152.25,99.67,86.87,23.989999771118164,213.75999450683594
2021-01-17 20:43:03.045763,166,ETSY,89.04,204.4199981689453,162.97,134.23,118.07,31.690000534057617,211.52000427246094
2021-01-17 20:43:03.045763,442,TSLA,130.4,826.1599731445312,612.9,439.53,368.33,72.24400329589844,880.02001953125
